merge_id,section,variant,canonical,rule,status,n_variant,n_canonical,detail,decision,reason
habitats: Moorwäldchen -> Mooswäldchen,habitats,Moorwäldchen,Mooswäldchen,similar,candidate,2,31,similarity 0.92,n,Moor vs Moos kept distinct
habitats: Mooswald -> Moorwald,habitats,Mooswald,Moorwald,similar,candidate,1,4,similarity 0.88,n,Moos vs Moor kept distinct
habitats: Moorwiesen -> Moorwiese,habitats,Moorwiesen,Moorwiese,similar,candidate,1,9,similarity 0.95,y,plural/singular
habitats: Mooswiese -> Moorwiese,habitats,Mooswiese,Moorwiese,similar,candidate,8,9,similarity 0.89,n,Moos vs Moor kept distinct
habitats: Moorwiesen -> Mooswiesen,habitats,Moorwiesen,Mooswiesen,similar,candidate,1,7,similarity 0.90,n,Moor vs Moos kept distinct
habitats: Mooswältchen -> Mooswäldchen,habitats,Mooswältchen,Mooswäldchen,similar,candidate,1,31,similarity 0.92,y,typo
habitats: Mooswiesen -> Mooswiese,habitats,Mooswiesen,Mooswiese,similar,candidate,7,8,similarity 0.95,y,plural/singular
habitats: niedriges Buschwerk -> niederes Buschwerk,habitats,niedriges Buschwerk,niederes Buschwerk,similar,candidate,2,2,similarity 0.92,y,niedrig/nieder synonyms
habitats: Obst-Gärten -> Obstgärten,habitats,Obst-Gärten,Obstgärten,similar,candidate,1,4,similarity 0.96,n,superseded; another canonical accepted
habitats: Obst-Gärten -> Obstgarten,habitats,Obst-Gärten,Obstgarten,similar,candidate,1,34,similarity 0.91,y,hyphen; plural/singular
habitats: Obstbäumen -> Obstbäume,habitats,Obstbäumen,Obstbäume,similar,candidate,1,23,similarity 0.95,y,dative/plural
habitats: Obstbaum -> Obstbäume,habitats,Obstbaum,Obstbäume,similar,candidate,4,23,similarity 0.89,y,singular/plural
habitats: Obstbäume längs der Straße -> Obstbaum an der Straße,habitats,Obstbäume längs der Straße,Obstbaum an der Straße,similar,candidate,1,1,similarity 0.88,y,roadside fruit trees; number/preposition
habitats: Obstgärten -> Obstgarten,habitats,Obstgärten,Obstgarten,similar,candidate,4,34,similarity 0.95,y,plural/singular
habitats: Pappel -> Pappeln,habitats,Pappel,Pappeln,similar,candidate,4,6,similarity 0.92,y,singular/plural
habitats: Pappelhaim -> Pappelhain,habitats,Pappelhaim,Pappelhain,similar,candidate,2,7,similarity 0.90,y,typo
habitats: Park und Garten -> Park und Gärten,habitats,Park und Garten,Park und Gärten,similar,candidate,1,1,similarity 0.97,y,singular/plural
habitats: Rebgarten -> Rebgärten,habitats,Rebgarten,Rebgärten,similar,candidate,1,2,similarity 0.95,y,singular/plural
habitats: Röhrich -> Röhricht,habitats,Röhrich,Röhricht,similar,candidate,1,47,similarity 0.94,y,typo
habitats: Rohrricht -> Rohricht,habitats,Rohrricht,Rohricht,similar,candidate,1,1,similarity 0.94,y,spelling variant
habitats: Rohrwalt -> Rohrwald,habitats,Rohrwalt,Rohrwald,similar,candidate,1,38,similarity 0.88,y,typo
"habitats: Rohrwald, Schilfrand -> Rohrwald, Schilf",habitats,"Rohrwald, Schilfrand","Rohrwald, Schilf",similar,candidate,1,1,similarity 0.88,n,Schilfrand vs Schilf
habitats: Rohrwatt -> Rohrwalt,habitats,Rohrwatt,Rohrwalt,similar,candidate,1,1,similarity 0.88,n,Watt vs Wald unclear
habitats: Saatfelder -> Saatfeld,habitats,Saatfelder,Saatfeld,similar,candidate,2,7,similarity 0.89,y,plural/singular
habitats: Sandbänke -> Sandbank,habitats,Sandbänke,Sandbank,similar,candidate,4,10,similarity 0.89,y,plural/singular
habitats: Sandgruben -> Sandgrube,habitats,Sandgruben,Sandgrube,similar,candidate,1,2,similarity 0.95,y,plural/singular
habitats: Schattenbänke -> Schotterbänke,habitats,Schattenbänke,Schotterbänke,similar,candidate,3,4,similarity 0.86,n,possibly misread but unclear
habitats: Schilf-Dickicht -> Schilfdickicht,habitats,Schilf-Dickicht,Schilfdickicht,similar,candidate,1,4,similarity 0.97,y,hyphen variant
habitats: Schilf und Weidicht -> Schilf im Weidicht,habitats,Schilf und Weidicht,Schilf im Weidicht,similar,candidate,1,1,similarity 0.86,n,und vs im different relation
"habitats: Schilfrand, See -> Schilf und See",habitats,"Schilfrand, See",Schilf und See,similar,candidate,1,4,similarity 0.86,n,Schilfrand vs Schilf
habitats: Schilfaltrand -> Schilfrand,habitats,Schilfaltrand,Schilfrand,similar,candidate,1,51,similarity 0.87,n,unclear compound
habitats: Schilfbeständen -> Schilfbestände,habitats,Schilfbeständen,Schilfbestände,similar,candidate,1,2,similarity 0.97,y,dative/plural
habitats: Schilfbestand -> Schilfbestände,habitats,Schilfbestand,Schilfbestände,similar,candidate,1,2,similarity 0.93,y,singular/plural
habitats: Schilfbeständen -> Schilfbestand,habitats,Schilfbeständen,Schilfbestand,similar,candidate,1,1,similarity 0.90,n,superseded; another canonical accepted
habitats: Schilfboden -> Schilfbord,habitats,Schilfboden,Schilfbord,similar,candidate,1,3,similarity 0.86,n,Boden vs Bord different
habitats: Schilfeld -> Schilffeld,habitats,Schilfeld,Schilffeld,similar,candidate,1,60,similarity 0.95,y,typo
habitats: Schilfgurt -> Schilfgürtel,habitats,Schilfgurt,Schilfgürtel,similar,candidate,1,18,similarity 0.87,y,Gurt/Gürtel same reed belt
habitats: Schilfwall -> Schilfwald,habitats,Schilfwall,Schilfwald,similar,candidate,2,12,similarity 0.90,n,Wall vs Wald unclear
habitats: Schilfwiesen -> Schilfwiese,habitats,Schilfwiesen,Schilfwiese,similar,candidate,2,3,similarity 0.96,y,plural/singular
habitats: Schilfwiese -> Schulwiese,habitats,Schilfwiese,Schulwiese,similar,candidate,3,3,similarity 0.86,n,reed vs school meadow
habitats: Schlammbanken -> Schlammbank,habitats,Schlammbanken,Schlammbank,similar,candidate,1,5,similarity 0.92,y,plural/singular
habitats: Schotter-Ansammlungen -> Schuttansammlungen,habitats,Schotter-Ansammlungen,Schuttansammlungen,similar,candidate,1,1,similarity 0.87,n,Schotter vs Schutt different
habitats: Schotterbänke -> Schotterbank,habitats,Schotterbänke,Schotterbank,similar,candidate,4,5,similarity 0.92,y,plural/singular
habitats: Schotterwiesen -> Schotterwiese,habitats,Schotterwiesen,Schotterwiese,similar,candidate,3,13,similarity 0.96,y,plural/singular
habitats: See-Ufer -> Seeufer,habitats,See-Ufer,Seeufer,similar,candidate,3,6,similarity 0.93,y,hyphen variant
habitats: Seggenwiese -> Seggewiese,habitats,Seggenwiese,Seggewiese,similar,candidate,1,1,similarity 0.95,y,spelling variant
habitats: Silberweiden -> Silberweide,habitats,Silberweiden,Silberweide,similar,candidate,1,1,similarity 0.96,y,plural/singular
habitats: Steinenmauern -> Steinmauern,habitats,Steinenmauern,Steinmauern,similar,candidate,1,1,similarity 0.92,y,spelling variant
habitats: Stoppelfelder -> Stoppelfeld,habitats,Stoppelfelder,Stoppelfeld,similar,candidate,3,13,similarity 0.92,y,plural/singular
habitats: Sträuchern -> Sträucher,habitats,Sträuchern,Sträucher,similar,candidate,2,4,similarity 0.95,y,dative/plural
habitats: Sträucher -> Strauchwerk,habitats,Sträucher,Strauchwerk,similar,candidate,4,5,similarity 0.86,y,Strauchwerk collective of Sträucher
habitats: Sträucher-Zäune -> Sträucherzäune,habitats,Sträucher-Zäune,Sträucherzäune,similar,candidate,1,2,similarity 0.97,y,hyphen variant
habitats: Straßen -> Straße,habitats,Straßen,Straße,similar,candidate,2,17,similarity 0.93,y,plural/singular
habitats: Sumpfsümpfen -> Sumpfsumpf,habitats,Sumpfsümpfen,Sumpfsumpf,similar,candidate,1,1,similarity 0.87,y,inflection variant
habitats: Sumpfwiesen -> Sumpfwiese,habitats,Sumpfwiesen,Sumpfwiese,similar,candidate,1,15,similarity 0.95,y,plural/singular
habitats: Tanne -> Tann,habitats,Tanne,Tann,similar,candidate,1,1,similarity 0.89,n,Tann fir forest vs Tanne tree
habitats: Tanne -> Tannen,habitats,Tanne,Tannen,similar,candidate,1,8,similarity 0.91,y,singular/plural
habitats: Tannenwaldung -> Tannenwald,habitats,Tannenwaldung,Tannenwald,similar,candidate,1,2,similarity 0.87,y,Waldung/Wald same fir forest
habitats: Teiche -> Teich,habitats,Teiche,Teich,similar,candidate,14,30,similarity 0.91,y,plural/singular
habitats: Teichen -> Teiche,habitats,Teichen,Teiche,similar,candidate,3,14,similarity 0.92,y,dative/plural
habitats: Telegrafenleitungen -> Telegraphenleitung,habitats,Telegrafenleitungen,Telegraphenleitung,similar,candidate,1,1,similarity 0.86,y,spelling; plural
habitats: Torfstiche -> Torfstich,habitats,Torfstiche,Torfstich,similar,candidate,4,7,similarity 0.95,y,plural/singular
habitats: überschwemmte Auen -> überschwemmte Wiesen,habitats,überschwemmte Auen,überschwemmte Wiesen,similar,candidate,1,2,similarity 0.85,n,Auen vs Wiesen different
habitats: überschwemmte Wiesen -> überschwemmte Wiese,habitats,überschwemmte Wiesen,überschwemmte Wiese,similar,candidate,2,5,similarity 0.98,y,plural/singular
habitats: überstwemmte Wiese -> überschwemmte Wiese,habitats,überstwemmte Wiese,überschwemmte Wiese,similar,candidate,2,5,similarity 0.92,y,typo
habitats: überschwemmte Wiesen -> überstwemmte Wiese,habitats,überschwemmte Wiesen,überstwemmte Wiese,similar,candidate,2,2,similarity 0.90,n,superseded; another canonical accepted
habitats: Ufer dieses Weihers -> Ufer des Weihers,habitats,Ufer dieses Weihers,Ufer des Weihers,similar,candidate,1,1,similarity 0.91,y,determiner only
habitats: Uferbusch -> Ufergebüsch,habitats,Uferbusch,Ufergebüsch,similar,candidate,3,6,similarity 0.86,y,Gebüsch collective of Busch
habitats: Uferrand -> Ufersand,habitats,Uferrand,Ufersand,similar,candidate,2,3,similarity 0.88,n,rand vs sand
habitats: Uferwand -> Uferrand,habitats,Uferwand,Uferrand,similar,candidate,1,2,similarity 0.88,n,wand vs rand
habitats: Ufersaum -> Uferraum,habitats,Ufersaum,Uferraum,similar,candidate,1,1,similarity 0.88,n,saum vs raum unclear
habitats: Uferwand -> Ufersand,habitats,Uferwand,Ufersand,similar,candidate,1,3,similarity 0.88,n,wand vs sand
habitats: Ulmen -> Ulme,habitats,Ulmen,Ulme,similar,candidate,1,1,similarity 0.89,y,plural/singular
habitats: verschneites Feld -> verschneite Felder,habitats,verschneites Feld,verschneite Felder,similar,candidate,1,2,similarity 0.91,y,singular/plural
habitats: Vorgärtchen -> Vorgarten,habitats,Vorgärtchen,Vorgarten,similar,candidate,1,2,similarity 0.86,y,affective diminutive; same habitat
habitats: Vorklärteich -> Vorklär-Teich,habitats,Vorklärteich,Vorklär-Teich,similar,candidate,2,4,similarity 0.96,y,hyphen variant
habitats: Wachholder -> Wacholder,habitats,Wachholder,Wacholder,similar,candidate,1,1,similarity 0.95,y,spelling variant
habitats: Wäldern -> Wälder,habitats,Wäldern,Wälder,similar,candidate,3,20,similarity 0.93,y,dative/plural
habitats: Walde -> Wald,habitats,Walde,Wald,similar,candidate,1,320,similarity 0.89,y,dative
habitats: Waldteil -> Waldabteil,habitats,Waldteil,Waldabteil,similar,candidate,3,5,similarity 0.89,n,Abteil forestry term; unclear
habitats: Waldessaum -> Waldsaum,habitats,Waldessaum,Waldsaum,similar,candidate,1,7,similarity 0.89,y,genitive linking variant
habitats: Waldrain -> Waldrand,habitats,Waldrain,Waldrand,similar,candidate,1,27,similarity 0.88,y,Rain = Rand; forest edge
habitats: Waldung -> Waldungen,habitats,Waldung,Waldungen,similar,candidate,4,6,similarity 0.88,y,singular/plural
habitats: Wasserfläche -> Wasserflächen,habitats,Wasserfläche,Wasserflächen,similar,candidate,1,2,similarity 0.96,y,singular/plural
habitats: Wasserfläche -> Wasserlache,habitats,Wasserfläche,Wasserlache,similar,candidate,1,1,similarity 0.92,n,surface vs puddle
habitats: Wasserlache -> Wasserflächen,habitats,Wasserlache,Wasserflächen,similar,candidate,1,2,similarity 0.88,n,puddle vs surfaces
habitats: Watt-Becken -> Wattbecken,habitats,Watt-Becken,Wattbecken,similar,candidate,1,1,similarity 0.95,y,hyphen variant
habitats: Weide -> Weiden,habitats,Weide,Weiden,similar,candidate,5,20,similarity 0.91,y,singular/plural
habitats: Weiden und Föhren -> Weiden und Erlen,habitats,Weiden und Föhren,Weiden und Erlen,similar,candidate,1,2,similarity 0.88,n,Föhren vs Erlen different
habitats: Weiden- und Erlengebüsch -> Weidenund Erlengebüsch,habitats,Weiden- und Erlengebüsch,Weidenund Erlengebüsch,similar,candidate,1,1,similarity 0.98,y,spacing/hyphen variant
habitats: Weidenbüschen -> Weidenbüsche,habitats,Weidenbüschen,Weidenbüsche,similar,candidate,2,5,similarity 0.96,n,superseded; another canonical accepted
habitats: Weidenbüsche -> Weidenbusch,habitats,Weidenbüsche,Weidenbusch,similar,candidate,5,7,similarity 0.92,n,superseded; another canonical accepted
habitats: Weidenbüsche -> Weidengebüsch,habitats,Weidenbüsche,Weidengebüsch,similar,candidate,5,11,similarity 0.89,y,Gebüsch collective of Büsche
habitats: Weidenbüschen -> Weidenbusch,habitats,Weidenbüschen,Weidenbusch,similar,candidate,2,7,similarity 0.88,n,superseded; another canonical accepted
habitats: Weidenbüschen -> Weidengebüsch,habitats,Weidenbüschen,Weidengebüsch,similar,candidate,2,11,similarity 0.86,y,Gebüsch collective of Büsche
habitats: Weidenbusch -> Weidengebüsch,habitats,Weidenbusch,Weidengebüsch,similar,candidate,7,11,similarity 0.88,y,Gebüsch collective of Busch
habitats: Weingarten -> Weingärten,habitats,Weingarten,Weingärten,similar,candidate,1,15,similarity 0.95,y,singular/plural
habitats: Werkskanal -> Werkkanal,habitats,Werkskanal,Werkkanal,similar,candidate,2,3,similarity 0.95,y,Fugen-s variant
habitats: Wiesen -> Wiese,habitats,Wiesen,Wiese,similar,candidate,76,185,similarity 0.91,y,plural/singular
habitats: Wieser -> Wiese,habitats,Wieser,Wiese,similar,candidate,1,185,similarity 0.91,y,typo
habitats: Wiesn -> Wiesen,habitats,Wiesn,Wiesen,similar,candidate,1,76,similarity 0.91,y,typo
habitats: Wiesen und Acker -> Wiesen und Äcker,habitats,Wiesen und Acker,Wiesen und Äcker,similar,candidate,1,2,similarity 0.97,y,umlaut plural variant
"habitats: Wiesen und Felder, Eis -> Wiesen und Felder",habitats,"Wiesen und Felder, Eis",Wiesen und Felder,similar,candidate,1,10,similarity 0.89,n,Eis extra qualifier
habitats: Wiesen und Feldern -> Wiesen und Felder,habitats,Wiesen und Feldern,Wiesen und Felder,similar,candidate,7,10,similarity 0.97,y,dative/plural
"habitats: Wiesen und Felder, Eis -> Wiesen und Feldern",habitats,"Wiesen und Felder, Eis",Wiesen und Feldern,similar,candidate,1,7,similarity 0.87,n,Eis extra qualifier
habitats: Winterteich -> Winterteiche,habitats,Winterteich,Winterteiche,similar,candidate,2,5,similarity 0.96,y,singular/plural
habitats: Winterteichen -> Winterteich,habitats,Winterteichen,Winterteich,similar,candidate,2,2,similarity 0.92,n,superseded; another canonical accepted
habitats: Winterteichen -> Winterteiche,habitats,Winterteichen,Winterteiche,similar,candidate,2,5,similarity 0.96,y,dative/plural
